frame,time_seconds,hand_index,handedness,score,kp0_x,kp0_y,kp0_z,kp1_x,kp1_y,kp1_z,kp2_x,kp2_y,kp2_z,kp3_x,kp3_y,kp3_z,kp4_x,kp4_y,kp4_z,kp5_x,kp5_y,kp5_z,kp6_x,kp6_y,kp6_z,kp7_x,kp7_y,kp7_z,kp8_x,kp8_y,kp8_z,kp9_x,kp9_y,kp9_z,kp10_x,kp10_y,kp10_z,kp11_x,kp11_y,kp11_z,kp12_x,kp12_y,kp12_z,kp13_x,kp13_y,kp13_z,kp14_x,kp14_y,kp14_z,kp15_x,kp15_y,kp15_z,kp16_x,kp16_y,kp16_z,kp17_x,kp17_y,kp17_z,kp18_x,kp18_y,kp18_z,kp19_x,kp19_y,kp19_z,kp20_x,kp20_y,kp20_z
243,8.107319277108434,0,Left,0.5936176776885986,0.45834803581237793,0.6842510104179382,-1.3075869276235608e-07,0.4956165552139282,0.673193097114563,-0.01322262268513441,0.5200518369674683,0.6264400482177734,-0.020312268286943436,0.525511622428894,0.5624972581863403,-0.025844193994998932,0.5262800455093384,0.5157878994941711,-0.030436566099524498,0.5350603461265564,0.550839364528656,-0.013239904306828976,0.5563233494758606,0.49747395515441895,-0.027282441034913063,0.5407296419143677,0.4938490390777588,-0.03635353967547417,0.5213293433189392,0.5090874433517456,-0.04037171229720116,0.5105014443397522,0.5198870301246643,-0.01074031088501215,0.5065113306045532,0.4671773612499237,-0.019954921677708626,0.49246838688850403,0.4829579293727875,-0.025065604597330093,0.4851185381412506,0.5091919898986816,-0.028048750013113022,0.4818805754184723,0.5061418414115906,-0.010023181326687336,0.47349613904953003,0.4654030203819275,-0.020484115928411484,0.4623652398586273,0.4860633611679077,-0.021673262119293213,0.4564656615257263,0.5113877058029175,-0.021455910056829453,0.45393964648246765,0.5035760402679443,-0.009762115776538849,0.4401550889015198,0.4774077534675598,-0.01769319549202919,0.4306948482990265,0.4999812841415405,-0.01588381640613079,0.42732077836990356,0.5248970985412598,-0.012431669980287552
244,8.140682730923695,0,Right,0.7360539436340332,0.4679368734359741,0.6612259149551392,-8.126118444806707e-08,0.5007696747779846,0.6521407961845398,-0.011450608260929585,0.5247083902359009,0.6234006881713867,-0.015860281884670258,0.5300294160842896,0.5753473043441772,-0.019244017079472542,0.5199522376060486,0.5374884605407715,-0.022381359711289406,0.5355083346366882,0.5657448768615723,-0.0061454856768250465,0.5533633828163147,0.5251272916793823,-0.016620002686977386,0.5435518026351929,0.5049543380737305,-0.025351762771606445,0.5274286866188049,0.5005028247833252,-0.029750077053904533,0.5116570591926575,0.5324481725692749,-0.0034943721257150173,0.5036712288856506,0.4897412955760956,-0.012618837878108025,0.4897976517677307,0.5026900768280029,-0.019931472837924957,0.4801652133464813,0.5247796177864075,-0.023480238392949104,0.486028254032135,0.5131973028182983,-0.002375807613134384,0.4770966172218323,0.48004138469696045,-0.0137788075953722,0.46427297592163086,0.4992493689060211,-0.017685160040855408,0.45520302653312683,0.5253080129623413,-0.01817946508526802,0.46039989590644836,0.5041176080703735,-0.0015480112051591277,0.4465404748916626,0.4802865982055664,-0.010681778192520142,0.43272367119789124,0.5016202330589294,-0.010647221468389034,0.4248201847076416,0.5284265279769897,-0.00802758801728487
245,8.174046184738955,0,Right,0.6900832056999207,0.4748791456222534,0.6183764934539795,8.866498646398213e-09,0.496908575296402,0.6116416454315186,-0.014226122759282589,0.5227018594741821,0.5896401405334473,-0.021998830139636993,0.5454456806182861,0.5713413953781128,-0.02940998785197735,0.5667797327041626,0.5736886262893677,-0.03771354630589485,0.5174363851547241,0.5532252788543701,-0.013600854203104973,0.5242539048194885,0.5181549787521362,-0.02516082488000393,0.5224547982215881,0.5038229823112488,-0.03351980820298195,0.518639087677002,0.5017762780189514,-0.038432683795690536,0.497688889503479,0.5334622859954834,-0.012040206231176853,0.4888100028038025,0.5015033483505249,-0.023917483165860176,0.4790845215320587,0.5051910877227783,-0.03160044923424721,0.4711117148399353,0.5177201628684998,-0.03553123399615288,0.47913825511932373,0.5234290361404419,-0.011933410540223122,0.4654577076435089,0.499377578496933,-0.02795272134244442,0.451407790184021,0.5120760798454285,-0.033960457891225815,0.4419052004814148,0.5328963994979858,-0.03500504791736603,0.46300628781318665,0.521076500415802,-0.012341887690126896,0.44740456342697144,0.5057564973831177,-0.025140736252069473,0.4318065345287323,0.5203600525856018,-0.027600936591625214,0.4227486252784729,0.5412569642066956,-0.027055099606513977
247,8.240773092369478,0,Right,0.8769506812095642,0.46851646900177,0.643880307674408,2.902737037402403e-07,0.495245099067688,0.6261004209518433,-0.008867641910910606,0.5190603137016296,0.6144440174102783,-0.02084098383784294,0.5331017374992371,0.6063950061798096,-0.03343859314918518,0.5490359663963318,0.6094619035720825,-0.047442663460969925,0.5136948227882385,0.5496582984924316,-0.029284901916980743,0.5320022702217102,0.5463801622390747,-0.049436260014772415,0.5497788786888123,0.5578610301017761,-0.0639796182513237,0.567467212677002,0.5749801397323608,-0.07341540604829788,0.5003967881202698,0.5417603850364685,-0.03582621365785599,0.5215973258018494,0.5342188477516174,-0.05530091002583504,0.5407940149307251,0.545818567276001,-0.0669243261218071,0.554976224899292,0.5661535263061523,-0.0741911232471466,0.4835553467273712,0.5453938245773315,-0.042259905487298965,0.4885530173778534,0.5427277088165283,-0.06330633163452148,0.4868912100791931,0.5573970675468445,-0.07189417630434036,0.4834197461605072,0.5744607448577881,-0.07586023211479187,0.4652538299560547,0.5569854974746704,-0.04868360981345177,0.46073779463768005,0.5737574696540833,-0.06403706967830658,0.45161163806915283,0.5931395292282104,-0.06647547334432602,0.44358113408088684,0.6121548414230347,-0.06683854013681412
248,8.274136546184739,0,Left,0.8866032958030701,0.4932275116443634,0.6324940323829651,-1.8823511993559805e-07,0.49757835268974304,0.6073838472366333,-0.016499269753694534,0.5047050714492798,0.575112521648407,-0.029688583686947823,0.5098856091499329,0.5596411228179932,-0.04038029536604881,0.5186150670051575,0.5574626326560974,-0.052787236869335175,0.5159816741943359,0.5278664827346802,-0.03336033970117569,0.48163720965385437,0.524042546749115,-0.04948606714606285,0.4644506573677063,0.534173309803009,-0.0612894743680954,0.452875554561615,0.5562301874160767,-0.06707271933555603,0.5101175308227539,0.5408917665481567,-0.03041549026966095,0.4654993712902069,0.5337122082710266,-0.04306068643927574,0.44084495306015015,0.5450026392936707,-0.05136667191982269,0.421874076128006,0.5634719133377075,-0.057279299944639206,0.5029374361038208,0.5563710927963257,-0.027500120922923088,0.46255460381507874,0.5587602853775024,-0.03770905360579491,0.4462367296218872,0.580239474773407,-0.03906114399433136,0.4372383952140808,0.602645993232727,-0.03953962028026581,0.4947950839996338,0.5735427141189575,-0.02556915581226349,0.4677051603794098,0.5735055804252625,-0.03086857497692108,0.4543376564979553,0.5829033255577087,-0.02732088789343834,0.4445343315601349,0.5944234132766724,-0.023963630199432373
380,12.678112449799197,0,Left,0.9858230948448181,0.4713512361049652,0.5485726594924927,-3.0699808917233895e-08,0.4677942097187042,0.5734727382659912,-0.007985720410943031,0.4592261016368866,0.5967296361923218,-0.015613711439073086,0.4558942914009094,0.6151840090751648,-0.023157622665166855,0.45559993386268616,0.627638578414917,-0.030358245596289635,0.4417937994003296,0.5803459882736206,-0.016494067385792732,0.4288075268268585,0.596108615398407,-0.028201479464769363,0.4312772750854492,0.5962939262390137,-0.03496541082859039,0.4384148120880127,0.5927050113677979,-0.038277767598629,0.4423481822013855,0.5588952898979187,-0.017713768407702446,0.4292278289794922,0.5740726590156555,-0.03043757937848568,0.4332546591758728,0.5804003477096558,-0.035498302429914474,0.44133439660072327,0.5815691351890564,-0.03727010264992714,0.44598662853240967,0.5384524464607239,-0.019511617720127106,0.4364407956600189,0.5485681295394897,-0.03009268455207348,0.4492179751396179,0.550582766532898,-0.028919905424118042,0.4596461355686188,0.5481166839599609,-0.026003779843449593,0.4519416391849518,0.5193561315536499,-0.02192964404821396,0.4473443925380707,0.5229662656784058,-0.028960900381207466,0.45288634300231934,0.5269721746444702,-0.02782788686454296,0.45790186524391174,0.5280909538269043,-0.025600260123610497
382,12.744839357429719,0,Left,0.9419696927070618,0.43036124110221863,0.5912305116653442,-8.131904394304001e-08,0.4353368282318115,0.6031060814857483,-0.008360931649804115,0.43985339999198914,0.6042520403862,-0.015627222135663033,0.44534215331077576,0.6026405692100525,-0.02213471569120884,0.451287180185318,0.6017112135887146,-0.02928633987903595,0.4382994771003723,0.5827388763427734,-0.018883630633354187,0.4404344856739044,0.5665580630302429,-0.02696562185883522,0.4463329315185547,0.556466281414032,-0.03311585634946823,0.4489668905735016,0.5528972744941711,-0.03742868825793266,0.44092118740081787,0.5655807256698608,-0.019039826467633247,0.4412305951118469,0.5489568114280701,-0.02691776119172573,0.45119643211364746,0.5382962226867676,-0.030499985441565514,0.45586347579956055,0.5348246693611145,-0.03377987816929817,0.44197648763656616,0.5551803708076477,-0.019046546891331673,0.4428251087665558,0.5373103618621826,-0.02756503038108349,0.45257866382598877,0.5302450060844421,-0.027570433914661407,0.4589194655418396,0.5269127488136292,-0.027514470741152763,0.44325700402259827,0.5458502173423767,-0.019447555765509605,0.4471031427383423,0.5260217189788818,-0.02446514554321766,0.4523273706436157,0.5183438658714294,-0.022511040791869164,0.45564278960227966,0.5154688954353333,-0.02165711112320423
383,12.778202811244979,0,Right,0.8262345790863037,0.4298780858516693,0.5699394941329956,6.378633088388597e-08,0.43710190057754517,0.5435878038406372,0.0019645721185952425,0.44491711258888245,0.5251008868217468,0.0027990590315312147,0.4501190781593323,0.5114567279815674,0.00283203087747097,0.45418375730514526,0.4996437430381775,0.003000968135893345,0.4487171173095703,0.5245034694671631,0.005900380201637745,0.4574072062969208,0.5227440595626831,0.0055206697434186935,0.46218761801719666,0.5225991010665894,0.003986943047493696,0.46463504433631897,0.5232197642326355,0.0028102353680878878,0.4487183094024658,0.5301428437232971,0.0044769905507564545,0.45814600586891174,0.5297868847846985,0.005007349420338869,0.46188434958457947,0.5293223261833191,0.0034700469113886356,0.46305933594703674,0.5306115746498108,0.0018547216895967722,0.4482702910900116,0.5377101898193359,0.0028406186029314995,0.4577951729297638,0.537143349647522,0.0037906947545707226,0.46052372455596924,0.5361576676368713,0.003460942767560482,0.46129825711250305,0.5360044836997986,0.0026844993699342012,0.44766172766685486,0.54670250415802,0.0012188202235847712,0.4550779163837433,0.5445259809494019,0.0025514615699648857,0.45743343234062195,0.5433078408241272,0.0031550992280244827,0.4580303132534027,0.5426282286643982,0.0033411365002393723
384,12.811566265060241,0,Right,0.9217570424079895,0.43464672565460205,0.5471997261047363,-9.82933912041517e-09,0.4413800835609436,0.5266625285148621,0.0007382609182968736,0.44884446263313293,0.5129058957099915,0.0006538064335472882,0.4536927044391632,0.5018866658210754,-6.952445255592465e-05,0.45572733879089355,0.4921221137046814,-0.0004647127934731543,0.45345279574394226,0.5114471912384033,0.0019459372851997614,0.4637962579727173,0.5158022046089172,0.0001453646837035194,0.46321603655815125,0.5181787610054016,-0.001513869734480977,0.46057096123695374,0.517835795879364,-0.0024773713666945696,0.4536852240562439,0.5191039443016052,0.0005193616962060332,0.46457427740097046,0.5232640504837036,-0.00024604363716207445,0.46278509497642517,0.5240247249603271,-0.0008751495042815804,0.4590441882610321,0.523552656173706,-0.001594326924532652,0.45362165570259094,0.5277324318885803,-0.0010976835619658232,0.4638706147670746,0.5309251546859741,-0.0011283035855740309,0.461677610874176,0.5309742093086243,-6.769193714717403e-05,0.4580969512462616,0.5302367210388184,0.00031882207258604467,0.4530022442340851,0.5365581512451172,-0.002859334461390972,0.4609803557395935,0.5382770299911499,-0.0018895429093390703,0.4591173529624939,0.5382739901542664,-0.00028674252098426223,0.4558955729007721,0.5378298163414001,0.0006544641801156104
385,12.844929718875502,0,Right,0.9813239574432373,0.4393739700317383,0.5380192995071411,-3.259006575717649e-08,0.4455474019050598,0.5218279957771301,0.000921377504710108,0.4527466595172882,0.5094167590141296,0.0005409066216088831,0.45645663142204285,0.4991307556629181,-0.0003940738970413804,0.45703616738319397,0.4897644817829132,-0.0009709408623166382,0.45717665553092957,0.5105156898498535,0.00047912512673065066,0.46687716245651245,0.516039252281189,-0.001568399602547288,0.46515074372291565,0.518987238407135,-0.002913772827014327,0.4618322551250458,0.519014835357666,-0.0035463881213217974,0.45718926191329956,0.5187859535217285,-0.0011376052862033248,0.4666650891304016,0.5248922109603882,-0.001960145775228739,0.46424826979637146,0.5260706543922424,-0.0019192250911146402,0.4606839418411255,0.5252490639686584,-0.002152637578547001,0.45677345991134644,0.527601420879364,-0.0028654513880610466,0.46534106135368347,0.5325018763542175,-0.0028856757562607527,0.4627687335014343,0.533100426197052,-0.0013624558923766017,0.4594937264919281,0.5318423509597778,-0.000722573371604085,0.45583197474479675,0.5361151099205017,-0.0046754018403589725,0.4627193808555603,0.5393821597099304,-0.0036675080191344023,0.460340678691864,0.5397226214408875,-0.0017712987028062344,0.45727428793907166,0.538518488407135,-0.0006905172485858202
