frame,time_seconds,track_id,u,v,bbox_x1,bbox_y1,bbox_x2,bbox_y2,score
496,8.266667,0,1512.70,1155.62,1414.31,665.58,1611.09,1155.62,0.901
497,8.283333,0,1505.03,1158.97,1403.19,665.94,1606.87,1158.97,0.893
498,8.300000,0,1498.25,1157.92,1392.02,666.31,1604.48,1157.92,0.893
499,8.316667,0,1492.93,1159.91,1384.34,666.93,1601.53,1159.91,0.893
500,8.333333,0,1489.43,1160.50,1378.62,667.52,1600.23,1160.50,0.896
501,8.350000,0,1484.68,1161.69,1370.58,669.47,1598.78,1161.69,0.905
502,8.366667,0,1482.02,1161.49,1365.53,670.81,1598.51,1161.49,0.916
503,8.383333,0,1483.44,1161.85,1365.09,672.99,1601.79,1161.85,0.904
504,8.400000,0,1483.93,1162.15,1364.48,672.14,1603.38,1162.15,0.909
505,8.416667,0,1481.52,1160.16,1362.85,673.43,1600.19,1160.16,0.917
506,8.433333,0,1483.59,1158.29,1365.24,673.82,1601.95,1158.29,0.902
507,8.450000,0,1482.15,1160.26,1364.53,673.74,1599.77,1160.26,0.906
508,8.466667,0,1483.24,1159.24,1365.49,673.28,1600.98,1159.24,0.913
509,8.483333,0,1484.66,1153.12,1365.84,672.71,1603.47,1153.12,0.913
510,8.500000,0,1484.30,1146.92,1366.03,671.92,1602.56,1146.92,0.915
511,8.516667,0,1483.22,1144.35,1365.06,672.52,1601.38,1144.35,0.916
512,8.533333,0,1479.75,1141.63,1364.22,672.38,1595.28,1141.63,0.913
513,8.550000,0,1477.00,1142.62,1364.11,670.35,1589.89,1142.62,0.905
514,8.566667,0,1473.52,1145.40,1365.26,669.65,1581.77,1145.40,0.903
515,8.583333,0,1469.09,1138.75,1365.34,667.70,1572.84,1138.75,0.910
516,8.600000,0,1463.29,1134.00,1364.53,665.74,1562.05,1134.00,0.892
517,8.616667,0,1456.58,1130.67,1360.49,665.39,1552.66,1130.67,0.883
518,8.633333,0,1446.94,1121.17,1352.28,666.10,1541.60,1121.17,0.883
519,8.650000,0,1438.91,1118.46,1343.72,664.73,1534.10,1118.46,0.900
520,8.666667,0,1431.23,1118.43,1337.08,662.38,1525.38,1118.43,0.905
521,8.683333,0,1420.77,1111.25,1326.28,662.85,1515.26,1111.25,0.893
522,8.700000,0,1411.90,1107.64,1319.31,663.00,1504.49,1107.64,0.874
523,8.716667,0,1402.07,1103.16,1312.73,661.96,1491.41,1103.16,0.873
524,8.733333,0,1392.09,1100.79,1302.45,661.56,1481.73,1100.79,0.894
525,8.750000,0,1386.12,1093.80,1294.92,661.25,1477.33,1093.80,0.905
526,8.766667,0,1381.31,1099.59,1287.34,661.04,1475.28,1099.59,0.917
527,8.783333,0,1378.17,1099.57,1280.01,660.74,1476.33,1099.57,0.918
528,8.800000,0,1376.38,1103.64,1273.26,661.96,1479.50,1103.64,0.916
529,8.816667,0,1374.83,1104.21,1267.41,662.98,1482.25,1104.21,0.921
530,8.833333,0,1374.42,1103.66,1263.64,664.84,1485.20,1103.66,0.919
531,8.850000,0,1370.97,1103.81,1254.27,665.05,1487.67,1103.81,0.915
532,8.866667,0,1370.17,1103.89,1249.85,664.65,1490.50,1103.89,0.921
533,8.883333,0,1368.73,1102.28,1246.84,665.90,1490.62,1102.28,0.917
534,8.900000,0,1365.32,1104.50,1239.37,667.43,1491.26,1104.50,0.908
535,8.916667,0,1362.48,1109.62,1234.51,667.95,1490.44,1109.62,0.919
536,8.933333,0,1359.37,1111.69,1230.53,670.08,1488.21,1111.69,0.920
537,8.950000,0,1356.44,1110.47,1226.10,670.77,1486.78,1110.47,0.933
538,8.966667,0,1354.56,1109.72,1224.58,670.16,1484.54,1109.72,0.937
539,8.983333,0,1352.68,1108.74,1222.03,669.62,1483.34,1108.74,0.937
540,9.000000,0,1347.29,1106.28,1217.36,669.27,1477.21,1106.28,0.935
541,9.016667,0,1345.27,1104.04,1217.31,668.10,1473.23,1104.04,0.930
542,9.033333,0,1341.78,1101.67,1215.26,667.97,1468.30,1101.67,0.931
543,9.050000,0,1338.40,1101.51,1215.22,668.33,1461.58,1101.51,0.925
544,9.066667,0,1335.26,1097.04,1214.89,667.94,1455.64,1097.04,0.921
545,9.083333,0,1331.55,1093.34,1214.34,667.03,1448.75,1093.34,0.917
546,9.100000,0,1329.76,1092.61,1214.83,666.76,1444.69,1092.61,0.903
547,9.116667,0,1326.76,1094.76,1214.01,665.68,1439.52,1094.76,0.895
548,9.133333,0,1324.11,1094.38,1214.59,662.82,1433.62,1094.38,0.899
549,9.150000,0,1322.14,1090.16,1216.76,662.88,1427.52,1090.16,0.894
550,9.166667,0,1319.28,1086.90,1218.50,662.71,1420.07,1086.90,0.887
551,9.183333,0,1315.15,1084.08,1219.91,661.72,1410.39,1084.08,0.890
552,9.200000,0,1313.87,1078.43,1223.13,661.13,1404.61,1078.43,0.884
553,9.216667,0,1310.93,1075.37,1223.76,659.73,1398.10,1075.37,0.884
554,9.233333,0,1308.49,1069.83,1225.18,658.49,1391.80,1069.83,0.886
555,9.250000,0,1301.66,1061.93,1224.77,658.27,1378.54,1061.93,0.884
556,9.266667,0,1296.37,1057.34,1224.61,657.28,1368.13,1057.34,0.895
557,9.283333,0,1293.95,1055.42,1225.59,657.31,1362.32,1055.42,0.885
558,9.300000,0,1292.01,1060.03,1226.29,656.38,1357.74,1060.03,0.880
559,9.316667,0,1289.53,1056.32,1226.28,655.40,1352.77,1056.32,0.879
560,9.333333,0,1286.18,1054.18,1223.44,654.66,1348.92,1054.18,0.875
561,9.350000,0,1283.28,1050.90,1221.40,653.33,1345.15,1050.90,0.882
562,9.366667,0,1278.34,1051.63,1214.73,654.25,1341.96,1051.63,0.885
563,9.383333,0,1274.75,1052.23,1209.16,656.64,1340.34,1052.23,0.876
564,9.400000,0,1267.76,1056.19,1198.14,655.89,1337.38,1056.19,0.864
565,9.416667,0,1262.34,1054.04,1190.78,655.08,1333.89,1054.04,0.877
566,9.433333,0,1256.96,1052.18,1182.52,654.31,1331.40,1052.18,0.888
567,9.450000,0,1253.88,1052.52,1176.58,654.93,1331.18,1052.52,0.886
568,9.466667,0,1251.03,1052.22,1171.56,656.40,1330.49,1052.22,0.886
569,9.483333,0,1247.42,1053.22,1166.52,657.94,1328.33,1053.22,0.890
570,9.500000,0,1245.78,1053.74,1164.91,659.46,1326.65,1053.74,0.890
571,9.516667,0,1244.86,1053.28,1162.79,659.96,1326.92,1053.28,0.889
572,9.533333,0,1243.93,1052.08,1161.71,660.12,1326.14,1052.08,0.887
573,9.550000,0,1243.69,1051.49,1161.81,658.37,1325.56,1051.49,0.883
574,9.566667,0,1243.30,1051.77,1161.89,657.50,1324.72,1051.77,0.881
575,9.583333,0,1243.00,1050.01,1161.08,658.41,1324.93,1050.01,0.884
576,9.600000,0,1242.44,1049.29,1161.04,658.68,1323.83,1049.29,0.877
577,9.616667,0,1243.64,1048.97,1162.26,659.44,1325.03,1048.97,0.887
578,9.633333,0,1243.79,1046.06,1163.14,659.20,1324.44,1046.06,0.887
579,9.650000,0,1243.52,1043.29,1163.03,659.71,1324.01,1043.29,0.886
580,9.666667,0,1240.02,1044.75,1161.11,661.21,1318.92,1044.75,0.878
581,9.683333,0,1236.93,1045.68,1159.56,663.35,1314.30,1045.68,0.863
582,9.700000,0,1234.81,1044.76,1158.77,662.23,1310.85,1044.76,0.862
583,9.716667,0,1229.42,1042.94,1156.14,661.55,1302.71,1042.94,0.864
584,9.733333,0,1225.20,1039.13,1151.17,660.50,1299.23,1039.13,0.866
585,9.750000,0,1217.35,1035.46,1142.57,660.95,1292.13,1035.46,0.862
586,9.766667,0,1212.89,1030.73,1136.38,658.30,1289.40,1030.73,0.876
587,9.783333,0,1207.84,1028.54,1128.64,658.27,1287.05,1028.54,0.881
588,9.800000,0,1205.10,1024.39,1124.46,657.15,1285.73,1024.39,0.885
589,9.816667,0,1201.46,1022.64,1121.03,656.42,1281.89,1022.64,0.879
590,9.833333,0,1192.53,1021.10,1113.22,655.35,1271.84,1021.10,0.884
591,9.850000,0,1181.42,1023.34,1107.29,655.74,1255.55,1023.34,0.898
592,9.866667,0,1176.77,1024.03,1102.45,656.04,1251.09,1024.03,0.899
593,9.883333,0,1173.50,1026.22,1098.38,656.49,1248.62,1026.22,0.904
594,9.900000,0,1169.83,1026.55,1093.32,656.85,1246.34,1026.55,0.911
595,9.916667,0,1167.45,1026.61,1091.14,656.46,1243.75,1026.61,0.916
596,9.933333,0,1164.88,1026.47,1086.80,657.00,1242.95,1026.47,0.922
597,9.950000,0,1162.17,1023.44,1082.11,657.91,1242.23,1023.44,0.913
598,9.966667,0,1158.91,1022.18,1076.58,659.95,1241.24,1022.18,0.900
599,9.983333,0,1158.33,1026.27,1073.52,660.73,1243.14,1026.27,0.903
