PosX,PosY,PosZ,QuatX,QuatY,QuatZ,QuatW,EulerZ,EulerY,EulerX,TimeSeconds,FOV,LensZoom

-0.031220576,1.3896041,0.034797914,-0.010023162,0.0351969,0.012519939,0.9992517,1.4778298,4.019165,358.79874,0.0,1.1413158,1495.5668

-0.031295642,1.3896266,0.034785625,-0.009642105,0.03452244,0.012616325,0.9992778,1.4865078,3.942293,358.84314,0.016666666662786156,1.1413158,1495.5668

-0.031324,1.3895773,0.03508963,-0.009511426,0.034160417,0.0127398,0.99928993,1.4997146,3.9008436,358.85825,0.03333333332557231,1.1413158,1495.5668

-0.03138402,1.3895797,0.035157517,-0.009298514,0.034124304,0.01278756,0.99929255,1.5043207,3.8969696,358.88254,0.04999999998835847,1.1413158,1495.5668

-0.03145486,1.3896002,0.035176154,-0.008842758,0.034239136,0.012846517,0.99929196,1.5094439,3.9107563,358.93445,0.06666666668024845,1.1413158,1495.5668

-0.03151625,1.3896166,0.035169464,-0.008599037,0.034436814,0.012792152,0.999288,1.5024738,3.9338431,358.9623,0.08333333334303461,1.1413158,1495.5668

-0.03157181,1.3896126,0.035109963,-0.008787298,0.03466462,0.0127134975,0.99927956,1.4944519,3.9597604,358.94067,0.10000000000582077,1.1413158,1495.5668

-0.03163107,1.3894094,0.035497025,-0.009019359,0.034839947,0.012670471,0.9992719,1.4906423,3.9795606,358.91394,0.11666666666860692,1.1413158,1495.5668

-0.03169456,1.3893307,0.035537623,-0.008930546,0.03490421,0.012609224,0.9992712,1.4833326,3.9871264,358.92426,0.13333333333139308,1.1413158,1495.5668

-0.031754155,1.3892751,0.03547379,-0.008551218,0.034837402,0.012574808,0.9992773,1.47779,3.9800653,358.96805,0.14999999999417923,1.1413158,1495.5668

-0.031803407,1.3892038,0.03535003,-0.0083455425,0.03472984,0.012570261,0.99928284,1.4763279,3.9680424,358.99185,0.1666666666569654,1.1413158,1495.5668

-0.031831667,1.3891141,0.035210222,-0.008210151,0.034710374,0.012547159,0.9992849,1.4731159,3.966033,359.0075,0.18333333331975155,1.1413158,1495.5668

-0.0318471,1.3890197,0.035027478,-0.00829721,0.034620985,0.012561023,0.9992871,1.4749545,3.9556432,358.99762,0.20000000001164153,1.1413158,1495.5668

-0.031708717,1.3888805,0.03512611,-0.008516438,0.034607917,0.012584557,0.99928546,1.4785104,3.953797,358.97238,0.2166666666744277,1.1413158,1495.5668

-0.03164942,1.3887913,0.034990873,-0.008718494,0.034659762,0.012561487,0.9992822,1.4767222,3.9594662,358.9492,0.23333333333721384,1.1413158,1495.5668

