frame,time_seconds,track_id,u,v,world_x,world_y,world_z,cam_pos_x,cam_pos_y,cam_pos_z
458,7.633333,0,1698.38,1235.93,-4.1262600060493995,0.0,-58.22849871513452,-0.0424578460979827,1.3889756991120052,0.0464006474034151
459,7.65,0,1696.06,1236.47,-4.1282219297065765,0.0,-58.17088709783252,-0.0425491630000208,1.3890607000000308,0.0464585240000067
460,7.666667,0,1693.52,1236.95,-4.138343898431405,0.0,-58.12670293246468,-0.0426089010848715,1.3891491016540485,0.0464778398022342
461,7.683333,0,1689.55,1235.98,-4.148465867156232,0.0,-58.08251876709684,-0.0426631409152042,1.3892317983460674,0.0464679521977519
462,7.7,0,1684.02,1234.87,-4.149214068134471,0.0,-58.10042528249232,-0.0427176579999619,1.3893218999999373,0.0464480000000139
463,7.716667,0,1679.71,1227.75,-4.149962269112711,0.0,-58.11833179788779,-0.0427551878454403,1.3893014015759633,0.0459610964950816
464,7.733333,0,1675.7,1225.52,-4.150037194120597,0.0,-58.144609447860155,-0.0427974591545301,1.3893801984239815,0.0457858535050408
465,7.75,0,1672.93,1233.94,-4.150112119128483,0.0,-58.17088709783252,-0.04283455,1.3894964,0.045753162
466,7.766667,0,1669.98,1234.34,-4.157173112273848,0.0,-58.22849871513452,-0.0428607803362039,1.3896216023680277,0.0457824608290096
467,7.783333,0,1667.37,1232.98,-4.164234105419213,0.0,-58.28611033243652,-0.0428775896638078,1.389739997632055,0.0458239091710193
468,7.8,0,1663.73,1232.36,-4.171627200078146,0.0,-58.30823911773115,-0.0428952799999339,1.3898480999999467,0.0458532719996349
469,7.816667,0,1660.91,1232.41,-4.179020294737079,0.0,-58.330367903025774,-0.042800758194532,1.389771700387984,0.0453306726652366
470,7.833333,0,1656.92,1231.19,-4.179146483640537,0.0,-58.561747470146344,-0.0428104848054543,1.3897910996119889,0.0451139343350661
471,7.85,0,1651.1,1228.77,-4.179272672543996,0.0,-58.793127037266906,-0.0428645239999811,1.3898411999999825,0.0449778550000475
472,7.866667,0,1645.36,1221.56,-4.183477599691084,0.0,-58.821170653905234,-0.0429395377341899,1.3899002011179935,0.0448684684678089
473,7.883333,0,1641.42,1218.14,-4.187682526838172,0.0,-58.84921427054356,-0.04302624426581,1.3899560988820066,0.044791861532191
474,7.9,0,1637.58,1216.58,-4.188479584454788,0.0,-58.86419080460024,-0.0431163650000785,1.3900033999998251,0.0447443240000346
475,7.916667,0,1634.74,1214.95,-4.1892766420714045,0.0,-58.87916733865692,-0.0433411547930812,1.3895028968879095,0.0448433769223068
476,7.933333,0,1632.78,1213.92,-4.190119129828647,0.0,-58.94877789267194,-0.0434807992071138,1.3893473031118733,0.0448894890777575
477,7.95,0,1629.81,1212.46,-4.190961617585889,0.0,-59.01838844668697,-0.0435996729999169,1.3892993000000335,0.0449151249999821
478,7.966667,0,1626.86,1211.38,-4.1912159172342625,0.0,-59.02151798508519,-0.0437138252494876,1.3892803995980094,0.0449395967653021
479,7.983333,0,1623.45,1204.66,-4.191470216882636,0.0,-59.02464752348341,-0.0438262977504338,1.3892603004020043,0.044977861234671
480,8.0,0,1619.44,1200.22,-4.192187454759654,0.0,-59.16782238310929,-0.04393314,1.389227,0.04501734
481,8.016667,0,1613.85,1194.68,-4.192904692636671,0.0,-59.31099724273517,-0.044059069636159,1.388977897757974,0.044899079657116
482,8.033333,0,1607.22,1188.46,-4.192904692636671,0.0,-59.31099724273517,-0.0441408733638981,1.3888658022419478,0.044881936342872
483,8.05,0,1599.72,1189.43,-4.192904692636671,0.0,-59.31099724273517,-0.0441890770000112,1.388802299999965,0.0449072350000276
484,8.066667,0,1595.58,1185.46,-4.192904692636671,0.0,-59.31099724273517,-0.0442052099422823,1.3887519991000363,0.0449468759602608
485,8.083333,0,1588.24,1177.13,-4.192904692636671,0.0,-59.31099724273517,-0.0442023240577216,1.3887070009000262,0.044994889039672
486,8.1,0,1581.93,1165.24,-4.192904692636671,0.0,-59.31099724273517,-0.0441954880000023,1.3886789000000097,0.0450657679999752
487,8.116667,0,1574.52,1152.24,-4.192904692636671,0.0,-59.31099724273517,-0.044109701140205,1.388494098952006,0.0453341159644369
488,8.133333,0,1570.22,1152.69,-4.192904692636671,0.0,-59.31099724273517,-0.0440667128597949,1.388441701047994,0.045532331035563
489,8.15,0,1563.68,1150.92,-4.192904692636671,0.0,-59.31099724273517,-0.044037349999991,1.3884339000000072,0.0457244440000702
490,8.166667,0,1557.59,1153.48,-4.192904692636671,0.0,-59.31099724273517,-0.0440116334585442,1.388454200780023,0.0459254394788903
491,8.183333,0,1552.5,1161.26,-4.192904692636671,0.0,-59.31099724273517,-0.0439845625414179,1.3884931992200318,0.0461493685214224
492,8.2,0,1547.55,1158.28,-4.192904692636671,0.0,-59.31099724273517,-0.0439471340000261,1.3885337999999716,0.0463703399998456
493,8.216667,0,1540.43,1156.15,-4.192904692636671,0.0,-59.31099724273517,-0.0438711182016418,1.3887218018479568,0.0464148424511429
494,8.233333,0,1531.74,1157.99,-4.192904692636671,0.0,-59.31099724273517,-0.0437812017984209,1.3888141981519786,0.0465373975487714
495,8.25,0,1522.16,1158.9,-4.192904692636671,0.0,-59.31099724273517,-0.043673772,1.3888774,0.046681385
496,8.266667,0,1512.7,1155.62,-4.192904692636671,0.0,-59.31099724273517,-0.0435565795640916,1.3889393015560183,0.0468169026792311
497,8.283333,0,1505.03,1158.97,-4.192904692636671,0.0,-59.31099724273517,-0.0434347904358232,1.3890170984440362,0.0469508573208623
498,8.3,0,1498.25,1157.92,-4.192904692636671,0.0,-59.31099724273517,-0.0433078780001515,1.389110300000218,0.0470921600001238
499,8.316667,0,1492.93,1159.91,-4.192904692636671,0.0,-59.31099724273517,-0.0435248753047083,1.3894225033798624,0.0472694998613434
500,8.333333,0,1489.43,1160.5,-4.192904692636671,0.0,-59.31099724273517,-0.0434901106953402,1.3895914966199017,0.0474125671384567
501,8.35,0,1484.68,1161.69,-4.192904692636671,0.0,-59.31099724273517,-0.0433733580000407,1.389711499999958,0.0475428769999544
502,8.366667,0,1482.02,1161.49,-4.192904692636671,0.0,-59.31099724273517,-0.0432220215116603,1.3898044014799915,0.0476751658520634
503,8.383333,0,1483.44,1161.85,-4.192904692636671,0.0,-59.31099724273517,-0.0430476104883396,1.3898783985200085,0.0478177641479366
504,8.4,0,1483.93,1162.15,-4.192904692636671,0.0,-59.31099724273517,-0.0428642260000196,1.389936399999877,0.0479604679999434
505,8.416667,0,1481.52,1160.16,-4.192904692636671,0.0,-59.31099724273517,-0.0429203420615835,1.389584397727934,0.0477985700336009
506,8.433333,0,1483.59,1158.29,-4.192904692636671,0.0,-59.31099724273517,-0.042823427938281,1.3894708022719071,0.0478002499664013
507,8.45,0,1482.15,1160.26,-4.192904692636671,0.0,-59.31099724273517,-0.0426861300000959,1.3894317000000274,0.0478401499999721
508,8.466667,0,1483.24,1159.24,-4.192904692636671,0.0,-59.31099724273517,-0.0425422010751281,1.3894137999260017,0.0478931415155647
509,8.483333,0,1484.66,1153.12,-4.192904692636671,0.0,-59.31099724273517,-0.042395959924974,1.389410100074001,0.0479689184843823
510,8.5,0,1484.3,1146.92,-4.192904692636671,0.0,-59.31099724273517,-0.04224897,1.3894119,0.048046563
