frame,time_seconds,track_id,u,v,world_x,world_y,world_z,cam_pos_x,cam_pos_y,cam_pos_z
421,7.016667,0,1886.85,1289.84,1.9841057602666694,0.0,-3.81956765891017,-0.042872493875261826,1.3891819993979928,0.046540434175248606
422,7.033333,0,1875.17,1283.13,1.9777139215424853,0.0,-3.86161149558649,-0.042966252124803664,1.3891519006019861,0.04674918582489721
423,7.05,0,1859.74,1288.14,1.9261601429991178,0.0,-3.8335255441414353,-0.04298169999999715,1.3891225999999708,0.04684321200004752
424,7.066667,0,1851.99,1284.37,1.9190493374633864,0.0,-3.857949084820558,-0.0429776270170593,1.389080598728052,0.04691124685478592
425,7.083333,0,1842.37,1279.69,1.9101743665214839,-2.220446049250313e-16,-3.887227234945158,-0.0429784799829395,1.3890170012720369,0.04690398614522423
426,7.1,0,1834.76,1268.78,1.926488437714529,0.0,-3.9623664122205113,-0.042972420000002114,1.3889248000000323,0.0468590260000157
427,7.116667,0,1828.76,1261.52,1.9324347091310343,0.0,-4.002711466309048,-0.04301661572738159,1.3888216974860146,0.04717162924320441
428,7.133333,0,1823.26,1258.29,1.9291516664714055,2.220446049250313e-16,-4.024767320564809,-0.043002985272618414,1.3886960025139854,0.04713379075679559
429,7.15,0,1819.77,1251.64,1.940843646362549,0.0,-4.054534187995472,-0.04296228299998108,1.3885535999999505,0.04694386199991472
430,7.166667,0,1816.85,1249.92,1.9399908321288413,0.0,-4.061870301861766,-0.04290812366406112,1.3884120973399225,0.0466996749218522
431,7.183333,0,1814.96,1248.56,1.939725101554282,-2.220446049250313e-16,-4.071626813989866,-0.04284133133584557,1.3882791026598917,0.04644578507779311
432,7.2,0,1814.5,1246.88,1.9442188961375377,0.0,-4.078723549074513,-0.04275916500005739,1.3881605000000827,0.04617924600018617
433,7.216667,0,1814.36,1245.22,1.9468520955278399,0.0,-4.077243443543885,-0.04280526872752963,1.3881079987000302,0.046306377680754
434,7.233333,0,1813.15,1245.49,1.9424874100023488,0.0,-4.0745124139377165,-0.04274164627251482,1.3880430013000151,0.046190417319327
435,7.25,0,1811.98,1244.77,1.9433629516131665,0.0,-4.076606516513525,-0.042635456,1.3879789,0.045997635
436,7.266667,0,1811.92,1245.34,1.943222967983198,0.0,-4.059805464566835,-0.04250553012134649,1.3879171989079873,0.04577818063084914
437,7.283333,0,1811.3,1245.15,1.9422902211166766,0.0,-4.061093368857571,-0.04236160487855298,1.3878626010919746,0.045559734368998274
438,7.3,0,1810.1,1244.94,1.9452540459682965,0.0,-4.057328822050895,-0.04219812000004563,1.3878237000000453,0.04537357800025603
439,7.316667,0,1809.08,1243.98,1.9479570018828136,0.0,-4.062198102999614,-0.04226345010873706,1.387888700807967,0.04574012880186733
440,7.333333,0,1808.55,1244.15,1.9460174374155605,0.0,-4.0607126134784615,-0.04216888689139505,1.3879290991919766,0.04578022219807666
441,7.35,0,1808.07,1243.42,1.950153172387163,0.0,-4.067930835739622,-0.04203228700004771,1.38795789999999,0.045725150000019234
442,7.366667,0,1806.58,1243.58,1.9453427998718922,0.0,-4.062334528253283,-0.04188330694635778,1.3879812002719984,0.0456371878182127
443,7.383333,0,1807.32,1242.74,1.9506888740421828,0.0,-4.0694374624527345,-0.04173063005364222,1.3879947997280015,0.0455281021817873
444,7.4,0,1807.89,1243.12,1.9448436491199597,0.0,-4.057614277530522,-0.04157854000006645,1.388002500000066,0.04541842000014182
445,7.416667,0,1808.5,1264.85,1.8677329123987956,0.0,-3.8922508314286235,-0.041768796689890975,1.3881912020000582,0.045824461212835295
446,7.433333,0,1802.69,1256.85,1.8801559654805509,0.0,-3.9490452067577855,-0.04175329231008736,1.3882911980000816,0.04588509878724942
447,7.45,0,1795.59,1247.57,1.8924587414402452,0.0,-4.014128815705511,-0.04167658000005358,1.3883604999999517,0.04583160600003736
448,7.466667,0,1787.64,1238.74,1.8973804663798106,0.0,-4.070295793801927,-0.04158441519202209,1.388421401199972,0.04574456222596131
449,7.483333,0,1770.11,1224.88,1.8997662224330294,-2.220446049250313e-16,-4.175920059846476,-0.04149401780804105,1.3884813987999862,0.04565586177410065
450,7.5,0,1757.05,1234.71,1.8247162445318075,0.0,-4.085270792077201,-0.04141334,1.3885413,0.045576338
451,7.516667,0,1748.08,1221.6,1.8441225276778772,0.0,-4.180740660931028,-0.04165218944997688,1.3885388010220119,0.04601562202922362
452,7.533333,0,1737.11,1211.62,1.8495239926124232,2.220446049250313e-16,-4.2612835218688865,-0.041724684550073755,1.3885898989780237,0.04611707797084724
453,7.55,0,1728.71,1232.57,1.7510606130698942,0.0,-4.077053399596627,-0.04174954000000548,1.3886731000000736,0.04609314699995007
454,7.566667,0,1718.45,1235.27,1.712842998732723,0.0,-4.049801110835124,-0.041757385944942244,1.3887782023399047,0.04602165850470093
455,7.583333,0,1710.55,1235.12,1.6918429118906828,2.220446049250313e-16,-4.04823647884591,-0.0417546330550616,1.388895197659932,0.045946893495403526
456,7.6,0,1705.29,1235.92,1.6724420343558193,0.0,-4.037216551792082,-0.04174614300000296,1.3890077999999606,0.04589016700001981
457,7.616667,0,1702.69,1235.74,1.6588855548468524,0.0,-4.0305321128829945,-0.04226275190201729,1.3889313008879949,0.04627082259658488
458,7.633333,0,1698.38,1235.93,1.6464071272468577,-2.220446049250313e-16,-4.02733709411449,-0.04245784609798271,1.3889756991120052,0.04640064740341512
459,7.65,0,1696.06,1236.47,1.6343069422877383,0.0,-4.018668873833672,-0.042549163000020866,1.3890607000000308,0.046458524000006746
460,7.666667,0,1693.52,1236.95,1.627460501853545,0.0,-4.010756557829967,-0.04260890108487157,1.3891491016540483,0.046477839802234244
461,7.683333,0,1689.55,1235.98,1.6197333877406639,2.220446049250313e-16,-4.016961954421145,-0.042663140915204206,1.3892317983460674,0.04646795219775194
462,7.7,0,1684.02,1234.87,1.6139660590491804,0.0,-4.026303369940495,-0.04271765799996192,1.3893218999999373,0.046448000000013936
463,7.716667,0,1679.71,1227.75,1.6371255041933466,0.0,-4.0902915085107745,-0.042755187845440315,1.3893014015759633,0.0459610964950816
464,7.733333,0,1675.7,1225.52,1.6331465368667026,2.220446049250313e-16,-4.107123990591969,-0.04279745915453016,1.3893801984239815,0.04578585350504081
465,7.75,0,1672.93,1233.94,1.6001723713657683,0.0,-4.040163837886683,-0.04283455,1.3894964,0.045753162
466,7.766667,0,1669.98,1234.34,1.5863449573391961,0.0,-4.036896929941339,-0.04286078033620391,1.3896216023680275,0.04578246082900965
467,7.783333,0,1667.37,1232.98,1.5834742754669615,0.0,-4.046881931705018,-0.04287758966380783,1.389739997632055,0.045823909171019306
468,7.8,0,1663.73,1232.36,1.5683021258297343,0.0,-4.0418443361729155,-0.04289527999993398,1.3898480999999467,0.04585327199963498
469,7.816667,0,1660.91,1232.41,1.5609215422516416,0.0,-4.037791538486449,-0.04280075819453207,1.3897717003879841,0.04533067266523662
470,7.833333,0,1656.92,1231.19,1.5536835981088795,2.220446049250313e-16,-4.046106363787212,-0.04281048480545434,1.3897910996119887,0.045113934335066164
471,7.85,0,1651.1,1228.77,1.5467660475078875,0.0,-4.061953704326387,-0.04286452399998113,1.3898411999999825,0.04497785500004752
472,7.866667,0,1645.36,1221.56,1.5511177859316156,0.0,-4.109566347145202,-0.0429395377341899,1.3899002011179935,0.04486846846780892
473,7.883333,0,1641.42,1218.14,1.5505172075846323,0.0,-4.136260847271405,-0.043026244265810094,1.3899560988820066,0.044791861532191085
474,7.9,0,1637.58,1216.58,1.5381885441141387,0.0,-4.141372897137049,-0.04311636500007851,1.3900033999998251,0.0447443240000346
475,7.916667,0,1634.74,1214.95,1.5293847260625397,0.0,-4.149150452322476,-0.04334115479308129,1.3895028968879095,0.04484337692230684
476,7.933333,0,1632.78,1213.92,1.5266835080485366,2.220446049250313e-16,-4.156406841394471,-0.043480799207113806,1.3893473031118733,0.044889489077757576
477,7.95,0,1629.81,1212.46,1.5164325449985316,0.0,-4.162418776176977,-0.04359967299991697,1.3892993000000335,0.0449151249999821
478,7.966667,0,1626.86,1211.38,1.5034513327110377,0.0,-4.1638634301460815,-0.04371382524948762,1.3892803995980094,0.04493959676530218
479,7.983333,0,1623.45,1204.66,1.513937861168563,0.0,-4.2193206173213165,-0.04382629775043381,1.3892603004020045,0.04497786123467109
480,8.0,0,1619.44,1200.22,1.5151870111778587,0.0,-4.254767642768677,-0.04393314,1.389227,0.04501734
481,8.016667,0,1613.85,1194.68,1.5165349168453555,0.0,-4.2908522221128225,-0.04405906963615905,1.3889778977579739,0.04489907965711601
482,8.033333,0,1607.22,1188.46,1.5164043620996794,0.0,-4.343587246421858,-0.0441408733638981,1.3888658022419478,0.04488193634287201
483,8.05,0,1599.72,1189.43,1.4919772674714085,0.0,-4.324104968096617,-0.04418907700001127,1.388802299999965,0.04490723500002769
484,8.066667,0,1595.58,1185.46,1.49103945735287,0.0,-4.354513536044405,-0.04420520994228235,1.3887519991000365,0.044946875960260875
485,8.083333,0,1588.24,1177.13,1.4952653547396295,0.0,-4.428666815411436,-0.04420232405772168,1.3887070009000262,0.044994889039672054
486,8.1,0,1581.93,1165.24,1.5129404719089552,0.0,-4.538287215332256,-0.044195488000002385,1.3886789000000097,0.04506576799997524
487,8.116667,0,1574.52,1152.24,1.5284271402211085,-2.220446049250313e-16,-4.664953618090892,-0.04410970114020501,1.388494098952006,0.04533411596443692
488,8.133333,0,1570.22,1152.69,1.5133155084973833,0.0,-4.657723799629104,-0.04406671285979499,1.388441701047994,0.04553233103556308
489,8.15,0,1563.68,1150.92,1.4950262354685615,0.0,-4.6747072968586085,-0.044037349999991024,1.3884339000000072,0.045724444000070204
490,8.166667,0,1557.59,1153.48,1.4680451874516613,0.0,-4.653831915509368,-0.044011633458544246,1.3884542007800227,0.045925439478890356
491,8.183333,0,1552.5,1161.26,1.4273811999551322,0.0,-4.571242014856336,-0.043984562541417936,1.3884931992200318,0.04614936852142248
492,8.2,0,1547.55,1158.28,1.4214845358874661,0.0,-4.606438994469458,-0.043947134000026145,1.3885337999999716,0.04637033999984565
493,8.216667,0,1540.43,1156.15,1.4057465408742944,0.0,-4.627699647535387,-0.04387111820164188,1.3887218018479568,0.04641484245114292
494,8.233333,0,1531.74,1157.99,1.3731588789632903,0.0,-4.604651143436429,-0.04378120179842093,1.3888141981519786,0.04653739754877146
495,8.25,0,1522.16,1158.9,1.3436490834537433,0.0,-4.596813846859206,-0.043673772,1.3888774,0.046681385
496,8.266667,0,1512.7,1155.62,1.3310641873863762,0.0,-4.636801406201515,-0.043556579564091646,1.3889393015560183,0.04681690267923119
497,8.283333,0,1505.03,1158.97,1.2975535078823481,0.0,-4.598518861979183,-0.04343479043582328,1.3890170984440362,0.046950857320862384
498,8.3,0,1498.25,1157.92,1.285709617910486,0.0,-4.617922292422315,-0.04330787800015158,1.389110300000218,0.047092160000123874
499,8.316667,0,1492.93,1159.91,1.2645848825161516,-2.220446049250313e-16,-4.597867513074923,-0.043524875304708326,1.3894225033798624,0.04726949986134341
500,8.333333,0,1489.43,1160.5,1.2522616884703541,0.0,-4.590545606034656,-0.043490110695340235,1.3895914966199017,0.04741256713845672
501,8.35,0,1484.68,1161.69,1.2341966961268636,0.0,-4.57748982193741,-0.04337335800004078,1.389711499999958,0.047542876999954485
502,8.366667,0,1482.02,1161.49,1.2228821392669702,-2.220446049250313e-16,-4.577099222931819,-0.043222021511660304,1.3898044014799915,0.0476751658520634
503,8.383333,0,1483.44,1161.85,1.2265474832005554,0.0,-4.574229405954312,-0.043047610488339695,1.3898783985200085,0.0478177641479366
504,8.4,0,1483.93,1162.15,1.2226806686177767,0.0,-4.568545079705725,-0.0428642260000196,1.389936399999877,0.047960467999943454
505,8.416667,0,1481.52,1160.16,1.2195567159798144,0.0,-4.587295159360045,-0.042920342061583586,1.3895843977279339,0.047798570033600975
506,8.433333,0,1483.59,1158.29,1.2310361933422438,0.0,-4.607051236267449,-0.042823427938281027,1.3894708022719073,0.04780024996640137
507,8.45,0,1482.15,1160.26,1.2203269675689143,0.0,-4.583806327535399,-0.04268613000009591,1.3894317000000274,0.047840149999972124
508,8.466667,0,1483.24,1159.24,1.2222730791902607,0.0,-4.5843814035430865,-0.04254220107512811,1.3894137999260017,0.04789314151556471
509,8.483333,0,1484.66,1153.12,1.2435820723362372,0.0,-4.648175409091266,-0.04239595992497405,1.389410100074001,0.04796891848438235
510,8.5,0,1484.3,1146.92,1.2590001586985007,0.0,-4.713689704916051,-0.04224897,1.3894119,0.048046563
511,8.516667,0,1483.22,1144.35,1.2592685189343742,0.0,-4.735819137891972,-0.042651073052932253,1.3895152004760054,0.047591887602912095
512,8.533333,0,1479.75,1141.63,1.2559301637940723,0.0,-4.76404461807986,-0.042703716947104516,1.389538999524011,0.04747203939700419
513,8.55,0,1477.0,1142.62,1.248031972102168,0.0,-4.7544179627895575,-0.0426450899999317,1.389537099999986,0.04745207700000516
514,8.566667,0,1473.52,1145.4,1.231434796905987,0.0,-4.7248939076072825,-0.042547307728152566,1.3895169992520304,0.047459457188492316
515,8.583333,0,1469.09,1138.75,1.2360586134396945,0.0,-4.795585215826462,-0.04243371527200612,1.389479600748022,0.04746888181149451
516,8.6,0,1463.29,1134.0,1.231938024302754,0.0,-4.846896363907068,-0.0423126100000423,1.3894343000000158,0.04748104999999575
517,8.616667,0,1456.58,1130.67,1.2146596131675664,0.0,-4.873959515678389,-0.042536310071239584,1.3896145006519962,0.04737689239286354
518,8.633333,0,1446.94,1121.17,1.2098905909151751,0.0,-4.98075120135939,-0.042539871928760416,1.3896470993480037,0.04734653660713647
519,8.65,0,1438.91,1118.46,1.1857048207057386,2.220446049250313e-16,-5.004890111981943,-0.04247193999996694,1.3896507000000051,0.04734408000000279
520,8.666667,0,1431.23,1118.43,1.1601765079508253,0.0,-5.006241698814827,-0.04237729090193894,1.3896652005080148,0.04735209042021223
521,8.683333,0,1420.77,1111.25,1.1447801001855429,-2.220446049250313e-16,-5.089268873778161,-0.04227239509791452,1.3896905994920208,0.04737309957981712
522,8.7,0,1411.9,1107.64,1.126857235120396,0.0,-5.139809809902653,-0.04215216000008399,1.389723799999977,0.04742028199996704
523,8.716667,0,1402.07,1103.16,1.1101820075072302,0.0,-5.206223541117163,-0.042310428986923596,1.389988102061952,0.047456451013976386
