frame,time_seconds,track_id,u,v,world_x,world_y,world_z,cam_pos_x,cam_pos_y,cam_pos_z
232,3.866667,0,1895.88,1119.15,4.495054736354875,0.0,-10.43088684230594,-0.0011111669421649498,1.3820410010919937,0.018501274523116958
233,3.883333,0,1888.47,1124.56,4.4921495886065355,0.0,-10.426561242186438,-0.0012232713578350502,1.3820955989080064,0.018527429476883045
234,3.9,0,1882.42,1124.65,4.485616179772828,0.0,-10.404286159990411,-0.0013526727999628515,1.3821674999998848,0.018619573000008077
235,3.916667,0,1874.73,1133.0,4.444279084760613,0.0,-10.297258354178656,-0.0012463035803001578,1.3818374987979651,0.01864269761541791
236,3.933333,0,1869.85,1136.39,4.442219887849291,0.0,-10.293906502655693,-0.0012603176197194203,1.381777401201951,0.018673466384625075
237,3.95,0,1865.44,1140.72,4.373767725796468,0.0,-10.12421985525858,-0.0013091265999659082,1.3818035999999818,0.018681171999994618
238,3.966667,0,1860.7,1137.94,4.228218370546504,0.0,-9.760545114627194,-0.0013593570869983615,1.3818531014359665,0.01866376391790191
239,3.983333,0,1855.65,1122.11,4.233236746137128,0.0,-9.77381726395928,-0.001418706012960181,1.3819248985639834,0.018659659082100953
240,4.0,0,1852.36,1124.77,4.213589688679551,0.0,-9.705833029706115,-0.0016015694,1.3817166,0.018713795
241,4.016667,0,1848.04,1135.8,4.243291252491053,0.0,-9.757981026593708,-0.0017117592219655089,1.381723301640019,0.01876651375295205
242,4.033333,0,1847.47,1128.33,4.24588467483001,0.0,-9.76439674354532,-0.001872849178147014,1.3818052983600382,0.018904154247144096
243,4.05,0,1849.01,1086.5,4.664338172677514,0.0,-10.93273074512294,-0.002193249800259867,1.3819934000001415,0.019324880000384275
244,4.066667,0,1847.77,1244.88,4.801230547569514,0.0,-11.321247951950339,-0.002565330033434378,1.3821958026298928,0.019875091959334932
245,4.083333,0,1847.76,1281.97,4.784848907358489,0.0,-11.282568747537743,-0.002852001966165121,1.3823272973699234,0.020323059040039226
246,4.1,0,1848.63,1277.09,4.794294594926657,0.0,-11.38191616719215,-0.003061011399927002,1.3824262999999655,0.020611380999899304
247,4.116667,0,1848.0,1284.91,4.746628221689866,0.0,-11.324454575346495,-0.0030904219780874703,1.382462601057994,0.020446149947200308
248,4.133333,0,1845.97,1285.12,4.746421837420636,0.0,-11.324731419011348,-0.0031293250219125296,1.382515498942006,0.020443510052799693
249,4.15,0,1843.29,1254.05,4.9008920939262515,0.0,-11.602387222848975,-0.003170296500020498,1.3825992000000364,0.020540260000063336
250,4.166667,0,1840.93,1263.71,4.9360287236192795,0.0,-11.626121526304953,-0.0032289862661666717,1.3827037021560626,0.020721595724808407
251,4.183333,0,1839.14,1237.85,4.948361479315567,0.0,-11.655950274393053,-0.0033022895339357345,1.382811497844088,0.020907823275451758
252,4.2,0,1834.01,1228.74,4.982505330324052,0.0,-11.697276210424079,-0.003401939999930397,1.3829183999999255,0.021119335999852263
253,4.216667,0,1833.53,1226.28,4.987815476789809,0.0,-11.650504283824194,-0.004030762134773463,1.383098702193949,0.021476778544334194
254,4.233333,0,1830.18,1223.7,4.988738649175935,0.0,-11.654216515012116,-0.004302496265036728,1.3832083978059744,0.021703991455507096
255,4.25,0,1822.75,1225.89,4.970073732123976,0.0,-11.601820547234516,-0.0044759437,1.3833064,0.021915238
256,4.266667,0,1822.4,1231.21,5.018150609722,0.0,-11.704189253275873,-0.00464198325981795,1.3834160020940243,0.02215575198991809
257,4.283333,0,1822.33,1230.53,5.018687919497879,0.0,-11.70560258084099,-0.004804965740295895,1.3835206979060488,0.022405235010256177
258,4.3,0,1822.32,1232.81,5.0166639273639495,0.0,-11.679522754544314,-0.004953697299854634,1.3836198000000555,0.022634367999871542
259,4.316667,0,1822.34,1232.86,4.993933486422738,0.0,-11.625403657764563,-0.004745565337714538,1.383699401423942,0.0224504475766365
260,4.333333,0,1823.06,1231.01,4.995173880731973,0.0,-11.628027804544118,-0.004742451062289813,1.3837705985759585,0.022479279423323218
261,4.35,0,1823.34,1231.17,5.020533524372688,0.0,-11.69193910851977,-0.004822661599971985,1.3838529999999711,0.02261459599995274
262,4.366667,0,1823.2,1230.76,5.101775695519671,0.0,-11.88002771219306,-0.0049316357030400855,1.3839332014419916,0.022801616331400605
263,4.383333,0,1822.09,1231.37,5.101503122070632,0.0,-11.879800943273736,-0.0050167847969599146,1.3840052985580085,0.022968180668599392
264,4.4,0,1821.13,1231.14,5.119474103135203,0.0,-11.851200626793872,-0.00507841259975763,1.3840674999999687,0.023093446999894025
265,4.416667,0,1820.92,1229.79,5.1105073763546125,0.0,-11.797396223633895,-0.0043844696259338,1.3839778999759993,0.022790031761123944
266,4.433333,0,1820.1,1241.9,5.1045461950443585,0.0,-11.78348585038043,-0.004215777973830534,1.383976700023999,0.022728092238789525
267,4.45,0,1817.49,1239.38,5.089041030425763,0.0,-11.730570448331136,-0.004228941999990803,1.3840132999999744,0.02274644399998718
268,4.466667,0,1816.23,1246.51,5.017513113644031,0.0,-11.551335126483554,-0.004302967768778818,1.3840620009099787,0.022788550074754978
269,4.483333,0,1813.16,1327.98,4.978513679158319,0.0,-11.462036162411549,-0.004391405231159408,1.3841074990899895,0.022842286925207487
270,4.5,0,1807.84,1327.12,4.935823046416224,0.0,-11.36379497520512,-0.0044832774,1.3841562,0.022903554
271,4.516667,0,1802.64,1311.63,4.897477266718054,0.0,-11.266900622809324,-0.004076077039921002,1.3838844981939789,0.021993771441995297
