frame,time_seconds,track_id,u,v,bbox_x1,bbox_y1,bbox_x2,bbox_y2,score
232,3.866667,0,1895.88,1119.15,1872.31,894.61,1919.45,1119.15,0.437
233,3.883333,0,1888.47,1124.56,1857.41,871.92,1919.53,1124.56,0.597
234,3.900000,0,1882.42,1124.65,1845.34,855.89,1919.49,1124.65,0.661
235,3.916667,0,1874.73,1133.00,1830.55,823.59,1918.91,1133.00,0.615
236,3.933333,0,1869.85,1136.39,1820.27,810.49,1919.43,1136.39,0.694
237,3.950000,0,1865.44,1140.72,1811.47,775.18,1919.42,1140.72,0.641
238,3.966667,0,1860.70,1137.94,1802.49,756.42,1918.92,1137.94,0.641
239,3.983333,0,1855.65,1122.11,1791.85,737.79,1919.44,1122.11,0.626
240,4.000000,0,1852.36,1124.77,1785.25,730.63,1919.47,1124.77,0.586
241,4.016667,0,1848.04,1135.80,1777.15,714.53,1918.93,1135.80,0.734
242,4.033333,0,1847.47,1128.33,1776.00,712.63,1918.94,1128.33,0.725
243,4.050000,0,1849.01,1086.50,1779.08,724.05,1918.94,1086.50,0.705
244,4.066667,0,1847.77,1244.88,1776.31,731.07,1919.23,1244.88,0.596
245,4.083333,0,1847.76,1281.97,1776.35,732.45,1919.16,1281.97,0.791
246,4.100000,0,1848.63,1277.09,1778.10,730.86,1919.16,1277.09,0.808
247,4.116667,0,1848.00,1284.91,1776.79,725.86,1919.21,1284.91,0.859
248,4.133333,0,1845.97,1285.12,1772.74,721.56,1919.21,1285.12,0.863
249,4.150000,0,1843.29,1254.05,1767.39,712.77,1919.18,1254.05,0.871
250,4.166667,0,1840.93,1263.71,1762.69,697.19,1919.18,1263.71,0.822
251,4.183333,0,1839.14,1237.85,1758.76,687.38,1919.51,1237.85,0.826
252,4.200000,0,1834.01,1228.74,1748.61,682.28,1919.41,1228.74,0.845
253,4.216667,0,1833.53,1226.28,1747.51,677.83,1919.55,1226.28,0.807
254,4.233333,0,1830.18,1223.70,1740.92,583.49,1919.43,1223.70,0.865
255,4.250000,0,1822.75,1225.89,1726.07,573.78,1919.42,1225.89,0.848
256,4.266667,0,1822.40,1231.21,1725.37,569.03,1919.43,1231.21,0.871
257,4.283333,0,1822.33,1230.53,1725.15,560.23,1919.52,1230.53,0.881
258,4.300000,0,1822.32,1232.81,1725.13,561.84,1919.51,1232.81,0.891
259,4.316667,0,1822.34,1232.86,1725.21,560.93,1919.46,1232.86,0.903
260,4.333333,0,1823.06,1231.01,1726.68,559.33,1919.45,1231.01,0.890
261,4.350000,0,1823.34,1231.17,1727.20,558.15,1919.47,1231.17,0.905
262,4.366667,0,1823.20,1230.76,1726.98,561.12,1919.42,1230.76,0.904
263,4.383333,0,1822.09,1231.37,1724.77,560.01,1919.41,1231.37,0.908
264,4.400000,0,1821.13,1231.14,1722.86,556.22,1919.40,1231.14,0.907
265,4.416667,0,1820.92,1229.79,1722.44,553.27,1919.41,1229.79,0.911
266,4.433333,0,1820.10,1241.90,1720.82,553.09,1919.37,1241.90,0.900
267,4.450000,0,1817.49,1239.38,1715.67,550.51,1919.31,1239.38,0.884
268,4.466667,0,1816.23,1246.51,1712.90,587.92,1919.57,1246.51,0.865
269,4.483333,0,1813.16,1327.98,1706.85,544.02,1919.47,1327.98,0.918
